epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,149.224,1.46484,5.59725,1.08403,0.33439,0.3589,0.32217,0.22461,1.09013,6.74974,0.98204,0.00197701,0.000659004,0.00197701,0.000659004,0.00197701,0.000659004,0.00197701,0.000659004
2,301.319,1.32808,4.53438,1.0327,0.31274,0.78015,0.32783,0.21045,1.26837,6.39502,0.9862,0.00378015,0.00126005,0.00378015,0.00126005,0.00378015,0.00126005,0.00378015,0.00126005
3,452.392,1.27941,4.16365,0.99697,0.29851,0.64286,0.34206,0.2376,1.21811,5.92847,0.98159,0.00538529,0.0017951,0.00538529,0.0017951,0.00538529,0.0017951,0.00538529,0.0017951
4,602.612,1.25895,3.93249,0.99336,0.35491,0.64286,0.36418,0.24268,1.11612,5.37564,0.97162,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
5,757.385,1.2807,3.12707,0.99003,0.44472,0.57143,0.43694,0.28289,1.20783,4.5857,1.00286,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
6,898.643,1.22538,2.67714,0.97693,0.3128,0.85714,0.35475,0.21886,1.21322,4.38612,0.97036,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
7,1039.97,1.18531,2.40475,0.98612,0.34933,0.95877,0.39431,0.2619,1.22876,3.85519,0.97215,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
8,1180.68,1.23883,1.98047,0.96456,0.37718,0.78571,0.4064,0.26273,1.19584,3.08592,0.96839,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
9,1321.12,1.19297,1.80735,0.9729,0.36168,0.85001,0.40884,0.26475,1.21573,3.41509,0.97104,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
10,1461.91,1.20062,1.5651,0.97554,0.36637,0.85714,0.39029,0.24574,1.17504,2.98712,0.96549,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
11,1600.81,1.11959,2.07434,0.96082,0.44305,0.78571,0.43876,0.25866,1.33787,2.63613,0.99281,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
12,1740.13,1.1545,1.76999,0.97892,0.39849,0.85184,0.40273,0.25702,1.22298,2.81273,0.97649,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
13,1881.41,1.13964,1.60996,0.97157,0.38587,0.89286,0.41348,0.26649,1.19232,2.55543,0.96898,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
14,2020.82,1.10893,1.47992,0.96073,0.39672,0.77517,0.39171,0.25937,1.18658,2.41645,0.96267,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
15,2159.49,1.15337,1.33976,0.96656,0.37802,0.89286,0.39613,0.27611,1.12479,2.39225,0.9579,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
16,2298.13,1.09408,1.26154,0.97178,0.35234,0.89286,0.42725,0.28889,1.20306,2.13991,0.9594,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
17,2436.91,1.10998,1.20368,0.96427,0.38933,0.92857,0.41413,0.27782,1.16212,2.3037,0.95283,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
18,2575.43,1.06558,1.13914,0.95398,0.41194,0.92571,0.42573,0.27634,1.16368,2.17731,0.95744,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
19,2714.18,1.06054,1.08333,0.95971,0.41106,0.85714,0.43636,0.28694,1.17736,2.32064,0.95479,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
20,2853.93,1.08068,1.04612,0.95652,0.40958,0.85714,0.43025,0.28285,1.17025,2.21739,0.95372,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
